slNo,name,group,description
1,Accounts Payable,Accounts Payable,"This is an account of all the money which you owe to others like a pending bill payment to a vendor,etc."
2,Accounts Receivable,Accounts Receivable,The money that customers owe you becomes the accounts receivable. A good example of this is a payment expected from an invoice sent to your customer.
3,Undeposited Funds,Cash,Record funds received by your company yet to be deposited in a bank as undeposited funds and group them as a current asset in your balance sheet.
4,Petty Cash,Cash,It is a small amount of cash that is used to pay your minor or casual expenses rather than writing a check.
5,Cost of Goods Sold,Cost Of Goods Sold,An expense account which tracks the value of the goods sold.
6,Labor,Cost Of Goods Sold,An expense account that tracks the amount that you pay as labor.
7,Materials,Cost Of Goods Sold,An expense account that tracks the amount you use in purchasing materials.
8,Subcontractor,Cost Of Goods Sold,An expense account to track the amount that you pay subcontractors who provide service to you.
9,Job Costing,Cost Of Goods Sold,An expense account to track the costs that you incur in performing a job or a task.
10,Drawings,Equity,The money withdrawn from a business by its owner can be tracked with this account.
11,Retained Earnings,Equity,The earnings of your company which are not distributed among the share holders is accounted as retained earnings.
12,Owner's Equity,Equity,The owners rights to the assets of a company can be quantified in the owner''s equity account.
13,Opening Balance Offset,Equity,This is an account where you can record the balance from your previous years earning or the amount set aside for some activities. It is like a buffer account for your funds.
14,Investments,Investment,An equity account used to track the amount that you invest.
15,Distributions,Equity,"An equity account that tracks the payment of stock, cash or physical products to its shareholders."
16,Capital Stock,Equity,An equity account that tracks the capital introduced when a business is operated through a company or corporation.
17,Dividends Paid,Equity,An equity account to track the dividends paid when a corporation declares dividend on its common stock.
18,Travel Expense,Expense,"Expenses on business travels like hotel bookings, flight charges, etc. are recorded as travel expenses."
19,Telephone Expense,Expense,"The expenses on your telephone, mobile and fax usage are accounted as telephone expenses."
20,Automobile Expense,Expense,"Transportation related expenses like fuel charges and maintenance charges for automobiles, are included to the automobile expense account."
21,IT and Internet Expenses,Expense,"Money spent on your IT infrastructure and usage like  internet connection, purchasing computer equipment etc is recorded as an IT and Computer Expense."
22,Rent Expense,Expense,The rent paid for your office or any space related to your business can be recorded as a rental expense.
